MeetingDate,MeetingVenue,RaceNo,Position,HorseNo,HorseName,JockeyName,WinOdds
2018-02-07,HV,5,4,2,TRAVEL DATUK,A Badel,NULL
2018-02-07,HV,6,1,2,HIGH VOLATILITY,Z Purton,NULL
2018-02-07,HV,6,2,5,GENTRY,W M Lai,NULL
2018-02-07,HV,6,3,7,MR KOOL,U Rispoli,NULL
2018-02-07,HV,6,4,4,CONTRIBUTION,H T Mo,NULL
2018-02-07,HV,7,1,5,CHARITY GLORY,N Rawiller,NULL
2018-02-07,HV,7,2,12,SPRING WIN,A Badel,NULL
2018-02-07,HV,7,3,11,SUNNY DRAGON,M L Yeung,NULL
2018-02-07,HV,7,4,1,BREEDERS' STAR,K Teetan,NULL
2018-02-07,HV,8,1,12,LET'S TAKE IT EASY,K Teetan,NULL
2018-02-07,HV,8,2,2,IMPERIAL GALLANTRY,J Moreira,NULL
2018-02-07,HV,8,3,10,SUPER LUCKY,A Badel,NULL
2018-02-07,HV,8,4,5,LAND GRANT,A Sanna,NULL
2018-02-10,ST,1,1,8,REFINED TREASURE,C Schofield,4.20
2018-02-10,ST,1,2,12,GOKO,K C Leung,7.10
2018-02-10,ST,9,1,9,UGLY WARRIOR,C Y Ho,4.70
2018-02-10,ST,9,2,1,WINNING VANGOGH,H T Mo,7.60
2018-02-10,ST,9,3,5,STRATHCLYDE,N Rawiller,3.00
2018-02-10,ST,9,4,8,PHANTOM FALCON,M F Poon,10.00
2018-02-10,ST,10,1,3,PERPETUAL JOYANCE,O Doleuze,10.00
2018-02-10,ST,10,2,6,MARVEL TRIBE,M L Yeung,16.00
2018-02-10,ST,10,3,1,HOUSE OF FUN,J Moreira,3.30
2018-02-10,ST,10,4,5,JOLLY JOLLY,K C Leung,6.80
2018-02-14,HV,1,1,11,HAPPY FRIENDSHIP,H T Mo,5.20
2018-02-14,HV,1,2,2,REMARKABLE,M Chadwick,4.90
2018-02-14,HV,1,3,7,SWEET BEAN,J Moreira,4.10
2018-02-14,HV,1,4,1,LOADED,P-C Boudot,55.00
2018-02-14,HV,2,1,8,YOUNG DREAMER,A Sanna,16.00
2018-02-14,HV,2,2,6,SCARBOROUGH FAIR,K C Leung,12.00
2018-02-14,HV,2,3,5,IDYLLIC WIND,B Prebble,36.00
2018-02-14,HV,2,4,12,KING'S STEED,J Moreira,4.70
2018-02-14,HV,3,1,7,SEE ME NOW,J Moreira,3.20
2018-02-14,HV,3,2,3,GREAT JOY,M F Poon,5.40
2018-02-14,HV,3,3,1,WAH MAY BABY,H T Mo,5.20
2018-02-14,HV,3,4,2,THE SYLPH,N Callan,7.90
2018-02-14,HV,4,1,8,GRACYDAD,M F Poon,6.70
2018-02-14,HV,4,2,12,BINGO,J Moreira,3.50
2018-02-14,HV,4,3,7,HONEST HORSE,K C Leung,11.00
2018-02-14,HV,4,4,6,BOND ELEGANCE,O Doleuze,6.20
2018-02-14,HV,5,1,4,HAR HAR HEART,J Moreira,5.40
2018-02-14,HV,5,2,1,DON'T MISS,H T Mo,2.70
2018-02-14,HV,5,3,8,CHARITY WINGS,Z Purton,3.30
2018-02-14,HV,5,4,10,YOURTHEWONFORME,T Berry,12.00
2018-02-14,HV,6,1,8,MOMENT OF POWER,H N Wong,6.90
2018-02-14,HV,6,2,7,BLOCKER DEE,Z Purton,5.70
2018-02-14,HV,6,3,2,COUNTRY MELODY,B Prebble,14.00
2018-02-14,HV,6,4,4,STORM SIGNAL,T Berry,7.90
2018-02-14,HV,7,1,7,JOLLY CONVERGENCE,N Callan,7.00
2018-02-14,HV,7,2,8,CHEERFULJET,Z Purton,3.10
2018-02-14,HV,7,3,11,MOST BEAUTIFUL,H T Mo,6.40
2018-02-14,HV,7,4,12,SAM'S LOVE,K C Leung,13.00
2018-02-14,HV,8,1,3,LITTERATEUR,N Rawiller,4.40
2018-02-14,HV,8,2,11,OUR HERO,H T Mo,24.00
2018-02-14,HV,8,3,5,MISTER MONTE,J Moreira,4.20
2018-02-14,HV,8,4,2,BIG BANG BONG,O Doleuze,5.60
