MeetinDate,MeetingVenue,RaceNo,PoolText,WinCombination,DividendAmount
2018-03-07,HV,1,Place,2,21.0000
2018-03-07,HV,1,Quinella,"4, 9",157.0000
2018-03-07,HV,1,Quinella Place,"4, 9",59.0000
2018-03-07,HV,1,Quinella Place,"2, 4",45.5000
2018-03-07,HV,1,Quinella Place,"2, 9",79.0000
2018-03-07,HV,1,3 Pick 1,"4, 9",23.5000
2018-03-07,HV,1,3 Pick 1,"2, 8, 10",0.0000
2018-03-07,HV,1,3 Pick 1,"1, 3, 5, 6, 7, 11, 12",0.0000
2018-03-07,HV,1,Tierce,"4, 9, 2",846.0000
2018-03-07,HV,1,Trio,"2, 4, 9",169.0000
2018-03-07,HV,1,First 4,"2, 4, 9, 11",503.0000
2018-03-07,HV,1,Quartet,"4, 9, 2, 11",7347.0000
2018-03-07,HV,2,Win,2,15.0000
2018-03-07,HV,2,Place,2,10.1000
2018-03-07,HV,2,Place,3,13.0000
2018-03-07,HV,2,Place,7,33.0000
2018-03-07,HV,2,Quinella,"2, 3",33.0000
2018-03-07,HV,2,Quinella Place,"2, 3",15.0000
2018-03-07,HV,2,Quinella Place,"2, 7",45.5000
2018-03-07,HV,2,Quinella Place,"3, 7",85.0000
2018-03-07,HV,2,3 Pick 1,2,15.0000
2018-03-07,HV,2,3 Pick 1,"3, 4, 5",0.0000
2018-03-07,HV,2,3 Pick 1,"1, 6, 7",0.0000
2018-03-07,HV,2,Tierce,"2, 3, 7",290.0000
2018-03-07,HV,2,Trio,"2, 3, 7",109.0000
2018-03-07,HV,2,First 4,"2, 3, 5, 7",58.0000
2018-03-07,HV,2,Quartet,"2, 3, 7, 5",684.0000
2018-03-07,HV,2,1st Double,4/2,46.5000
2018-03-07,HV,2,1st Double (Consolation),4/3,35.5000
2018-03-07,HV,3,Win,4,42.5000
2018-03-07,HV,3,Place,4,17.5000
2018-03-07,HV,3,Place,8,32.0000
2018-03-07,HV,3,Place,10,26.0000
2018-03-07,HV,3,Quinella,"4, 8",398.5000
2018-03-07,HV,3,Quinella Place,"4, 8",99.0000
2018-03-07,HV,3,Quinella Place,"4, 10",69.5000
2018-03-07,HV,3,Quinella Place,"8, 10",171.0000
2018-03-07,HV,3,3 Pick 1,"6, 8",0.0000
2018-03-07,HV,3,3 Pick 1,"4, 9, 11",23.0000
2018-03-07,HV,3,3 Pick 1,"1, 2, 3, 5, 7, 10, 12",0.0000
2018-03-07,HV,3,Tierce,"4, 8, 10",2876.0000
2018-03-07,HV,3,Trio,"4, 8, 10",682.0000
2018-03-07,HV,3,First 4,"4, 8, 9, 10",1597.0000
2018-03-07,HV,3,Quartet,"4, 8, 10, 9",34718.0000
2018-03-07,HV,3,2nd Double,2/4,92.5000
2018-03-07,HV,3,2nd Double (Consolation),2/8,25.5000
2018-03-07,HV,4,Win,7,45.0000
2018-03-07,HV,4,Place,7,16.5000
2018-03-07,HV,4,Place,1,111.5000
2018-03-07,HV,4,Place,10,36.5000
2018-03-07,HV,4,Quinella,"1, 7",1015.0000
2018-03-07,HV,4,Quinella Place,"1, 7",299.0000
2018-03-07,HV,4,Quinella Place,"7, 10",115.5000
2018-03-07,HV,4,Quinella Place,"1, 10",706.5000
2018-03-07,HV,4,3 Pick 1,"7, 9",18.5000
2018-03-07,HV,4,3 Pick 1,"6, 8, 11",0.0000
2018-03-07,HV,4,3 Pick 1,"1, 2, 3, 4, 5, 10, 12",0.0000
2018-03-07,HV,4,Tierce,"7, 1, 10",17469.0000
2018-03-07,HV,4,Trio,"1, 7, 10",3725.0000
2018-03-07,HV,4,First 4,"1, 7, 9, 10",1934.0000
2018-03-07,HV,4,Quartet,"7, 1, 10, 9",50790.0000
2018-03-07,HV,4,3rd Double,4/7,188.5000
2018-03-07,HV,4,3rd Double (Consolation),4/1,346.0000
2018-03-07,HV,4,1st Double Trio,"4, 8, 10/1, 7, 10",940125.0000
2018-03-07,HV,5,Win,2,19.5000
2018-03-07,HV,5,Place,2,12.0000
2018-03-07,HV,5,Place,1,20.0000
2018-03-07,HV,5,Place,10,104.0000
2018-03-07,HV,5,Quinella,"1, 2",73.5000
2018-03-07,HV,5,Quinella Place,"1, 2",34.0000
2018-03-07,HV,5,Quinella Place,"2, 10",225.0000
2018-03-07,HV,5,Quinella Place,"1, 10",362.0000
2018-03-07,HV,5,3 Pick 1,"2, 5",17.0000
2018-03-07,HV,5,3 Pick 1,"1, 3, 12",0.0000
2018-03-07,HV,5,3 Pick 1,"4, 6, 7, 8, 9, 10, 11",0.0000
2018-03-07,HV,5,Tierce,"2, 1, 10",2915.0000
2018-03-07,HV,5,Trio,"1, 2, 10",1040.0000
2018-03-07,HV,5,First 4,"1, 2, 10, 12",1441.0000
2018-03-07,HV,5,Quartet,"2, 1, 10, 12",19764.0000
2018-03-07,HV,5,4th Double,7/2,69.5000
2018-03-07,HV,5,4th Double (Consolation),7/1,46.0000
2018-03-07,HV,6,Win,1,43.0000
2018-03-07,HV,6,Place,1,18.0000
2018-03-07,HV,6,Place,11,12.5000
2018-03-03,ST,10,Place,6,14.5000
2018-03-07,HV,6,Place,8,40.5000
